Sales_ID,Car_Brand,Car_Model,Car_Variant,Year,Selling_Price,km_Driven,Mileage,Engine,Max_Power,Seats,Fuel,Transmission,Owner,Seller_Type,Sold,City_Name,City_Code,State_Name,State_Code,Region,Region_Code,Postal_Code
49,Toyota,Innova,IV,2013,700000,99000,12.99,2494.0,100.0,7,Diesel,Manual,First Owner,Dealer,Y,Gangtok,CT16,Sikkim,ST23,North East,R6,737101
50,Mercedes-Benz,B,,2014,1450000,27800,14.8,2143.0,120.7,5,Diesel,Automatic,Second Owner,Dealer,Y,Bangalore,CT10,Karnataka,ST12,South,R4,560034
51,Honda,Amaze,Diesel,2015,425000,49800,24.7,1498.0,98.63,5,Diesel,Manual,First Owner,Dealer,Y,Mysore,CT19,Karnataka,ST12,South,R4,570004
52,Mitsubishi,Pajero,,2013,1090000,151000,13.5,2477.0,175.56,7,Diesel,Manual,First Owner,Dealer,Y,Nellore,CT25,Andhra Pradesh,ST01,South,R4,524225
53,Honda,City,S,2015,600000,54700,26.0,1498.0,98.6,5,Diesel,Manual,First Owner,Dealer,Y,Bhubaneshwar,CT15,Odisha,ST20,East,R2,751022
54,Maruti,Ciaz,Zeta,2018,850000,64000,20.65,1462.0,103.25,5,Petrol,Manual,First Owner,Dealer,Y,Thrissur,CT24,Kerala,ST13,South,R4,680004
55,Honda,Jazz,Diesel,2015,525000,63000,27.3,1498.0,98.6,5,Diesel,Manual,First Owner,Dealer,Y,Pune,CT02,Maharashtra,ST15,West,R3,411002
56,Toyota,Innova,BSIV,2016,1650000,127700,11.36,2755.0,171.5,7,Diesel,Automatic,Second Owner,Dealer,Y,Dehradun,CT21,Uttarakhand,ST27,Central,R1,248001
57,Toyota,Innova,Seater,2016,950000,99000,12.99,2494.0,100.6,7,Diesel,Manual,First Owner,Dealer,Y,Jamshedpur,CT27,Jharkhand,ST11,East,R2,831001
58,Audi,A6,Technology,2013,1750000,33900,17.68,1968.0,174.33,5,Diesel,Automatic,Second Owner,Dealer,Y,Ahmedabad,CT11,Gujarat,ST07,West,R3,382460
59,Toyota,Corolla,CVT,2018,1590000,25000,14.28,1798.0,138.03,5,Petrol,Automatic,First Owner,Dealer,Y,Kochi,CT07,Kerala,ST13,South,R4,682001
60,Audi,A6,Edition,2013,1689999,50000,18.53,1968.0,187.74,5,Diesel,Automatic,First Owner,Dealer,Y,Ahmedabad,CT11,Gujarat,ST07,West,R3,382460
61,Mercedes-Benz,New,AT,2013,1425000,59000,14.84,2143.0,170.0,5,Diesel,Automatic,First Owner,Dealer,Y,Kolkata,CT08,West Bengal,ST29,East,R2,700027
62,Tata,Manza,IV,2011,265000,120000,21.12,1248.0,88.8,5,Diesel,Manual,First Owner,Individual,Y,Jaipur,CT06,Rajasthan,ST22,North,R5,302029
63,Hyundai,i10,Magna,2011,190000,110000,20.36,1197.0,78.9,5,Petrol,Manual,Third Owner,Individual,Y,Surat,CT14,Gujarat,ST07,West,R3,395007
64,Hyundai,i20,CRDi,2013,425000,60000,21.27,1396.0,88.76,5,Diesel,Manual,First Owner,Individual,Y,kanpur,CT20,Uttar Pradesh,ST28,Central,R1,208002
65,Maruti,Swift,ZDI,2015,630000,147000,26.59,1248.0,74.0,5,Diesel,Manual,Second Owner,Individual,Y,Surat,CT14,Gujarat,ST07,West,R3,395007
66,Ford,Figo,MT,2017,600000,25000,18.16,1196.0,86.8,5,Petrol,Manual,Third Owner,Individual,Y,Bhubaneshwar,CT15,Odisha,ST20,East,R2,751022
67,Maruti,Baleno,,2019,650000,30000,21.4,1197.0,83.1,5,Petrol,Manual,First Owner,Individual,Y,Noida,CT12,Uttar Pradesh,ST28,Central,R1,201301
68,Volkswagen,Ameo,Alloy,2016,540000,40000,22.0,1498.0,108.495,5,Diesel,Manual,First Owner,Individual,Y,kanpur,CT20,Uttar Pradesh,ST28,Central,R1,208002
69,Honda,City,VX,2015,630000,135000,25.1,1498.0,98.6,5,Diesel,Manual,First Owner,Individual,Y,Coimbatore,CT04,Tamil Nadu,ST24,South,R4,641001
70,Maruti,Wagon,VXI,2018,448000,30000,20.51,998.0,67.0,5,Petrol,Automatic,First Owner,Individual,Y,Coimbatore,CT04,Tamil Nadu,ST24,South,R4,641001
71,Volkswagen,Ameo,Comfortline,2017,500000,80000,21.66,1498.0,108.62,5,Diesel,Manual,First Owner,Individual,Y,Mumbai,CT01,Maharashtra,ST15,West,R3,400001
72,Maruti,Vitara,VDi,2016,745000,70000,24.3,1248.0,88.5,5,Diesel,Manual,First Owner,Individual,Y,Jaipur,CT06,Rajasthan,ST22,North,R5,302029
73,Maruti,Vitara,AMT,2019,1025000,9850,24.3,1248.0,88.5,5,Diesel,Automatic,First Owner,Individual,Y,Aurangabad,CT26,Maharashtra,ST15,West,R3,431001
74,Hyundai,i10,Magna,2011,235000,60000,20.36,1197.0,78.9,5,Petrol,Manual,Second Owner,Individual,Y,Gangtok,CT16,Sikkim,ST23,North East,R6,737101
75,Maruti,Swift,Deca,2016,630000,70000,25.2,1248.0,74.0,5,Diesel,Manual,First Owner,Individual,Y,Chennai,CT03,Tamil Nadu,ST24,South,R4,600020
76,Toyota,Fortuner,MT,2015,1700000,78000,12.55,2982.0,168.5,7,Diesel,Manual,Second Owner,Individual,Y,Gangtok,CT16,Sikkim,ST23,North East,R6,737101
77,Maruti,Swift,VDI,2013,450000,120000,22.9,1248.0,74.0,5,Diesel,Manual,Second Owner,Individual,Y,Kochi,CT07,Kerala,ST13,South,R4,682001
78,Maruti,Ertiga,ZXI,2012,450000,120000,16.02,1373.0,93.7,7,Petrol,Manual,Second Owner,Individual,Y,Mangalore,CT23,Karnataka,ST12,South,R4,575001
80,Volkswagen,Vento,Highline,2013,450000,170000,20.54,1598.0,103.6,5,Diesel,Manual,First Owner,Individual,Y,Chennai,CT03,Tamil Nadu,ST24,South,R4,600020
81,Toyota,Innova,Seater,2016,1200000,140000,12.99,2494.0,100.6,8,Diesel,Manual,First Owner,Individual,Y,Ahmedabad,CT11,Gujarat,ST07,West,R3,382460
82,Ford,EcoSport,BSIV,2015,610000,90000,22.77,1498.0,98.59,5,Diesel,Manual,First Owner,Individual,Y,Thrissur,CT24,Kerala,ST13,South,R4,680004
83,BMW,X1,xLine,2016,2500000,30000,15.71,1998.0,189.0,5,Petrol,Automatic,Second Owner,Individual,Y,Ludhiana,CT18,Punjab,ST21,North,R5,141003
84,Maruti,Celerio,BSIV,2017,484999,10000,23.1,998.0,67.04,5,Petrol,Manual,First Owner,Dealer,Y,Nellore,CT25,Andhra Pradesh,ST01,South,R4,524225
85,Datsun,GO,Petrol,2016,275000,49000,19.02,1198.0,67.05,5,Petrol,Manual,First Owner,Dealer,Y,Mysore,CT19,Karnataka,ST12,South,R4,570004
86,Maruti,Alto,BSIV,2016,315000,32000,24.7,796.0,47.3,5,Petrol,Manual,First Owner,Dealer,Y,Mysore,CT19,Karnataka,ST12,South,R4,570004
87,Maruti,Alto,BSIV,2016,275000,38000,24.7,796.0,47.3,5,Petrol,Manual,First Owner,Dealer,Y,Mangalore,CT23,Karnataka,ST12,South,R4,575001
89,Hyundai,i10,,2012,290000,28000,19.81,1086.0,68.05,5,Petrol,Manual,First Owner,Dealer,Y,Indore,CT22,Madhya Pradesh,ST14,Central,R1,452010
90,Maruti,Omni,BSIV,2017,280000,32000,14.0,796.0,35.0,5,Petrol,Manual,First Owner,Dealer,Y,Chennai,CT03,Tamil Nadu,ST24,South,R4,600020
91,Maruti,Wagon,BSIV,2010,225000,44000,26.2,998.0,58.2,5,LPG,Manual,First Owner,Dealer,Y,Vadodara,CT17,Gujarat,ST07,West,R3,391510
92,Volkswagen,Polo,Comfortline,2015,455000,42000,16.47,1198.0,74.0,5,Petrol,Manual,First Owner,Dealer,Y,Chennai,CT03,Tamil Nadu,ST24,South,R4,600020
93,Hyundai,i10,L,2015,351000,45000,19.81,1086.0,68.05,5,Petrol,Manual,Second Owner,Dealer,Y,Pune,CT02,Maharashtra,ST15,West,R3,411002
94,Volkswagen,Vento,Highline,2012,535000,12000,15.04,1598.0,103.6,5,Petrol,Manual,Second Owner,Dealer,Y,Ludhiana,CT18,Punjab,ST21,North,R5,141003
95,Maruti,Zen,BSIII,2009,175000,55500,18.2,998.0,67.1,5,Petrol,Manual,First Owner,Dealer,Y,Gangtok,CT16,Sikkim,ST23,North East,R6,737101
96,Hyundai,i20,,2013,525000,61500,18.5,1197.0,82.85,5,Petrol,Manual,First Owner,Dealer,Y,Mysore,CT19,Karnataka,ST12,South,R4,570004
97,Maruti,Swift,LDI,2016,600000,150000,26.59,1248.0,74.0,5,Diesel,Manual,First Owner,Individual,Y,Coimbatore,CT04,Tamil Nadu,ST24,South,R4,641001
98,Hyundai,Xcent,AT,2016,565000,72000,19.1,1197.0,82.0,5,Petrol,Automatic,First Owner,Dealer,Y,Surat,CT14,Gujarat,ST07,West,R3,395007
99,Maruti,Alto,BSIII,2008,120000,68000,19.7,796.0,46.3,5,Petrol,Manual,Third Owner,Dealer,Y,Ranchi,CT28,Jharkhand,ST11,East,R2,834001
100,Hyundai,i20,Option,2017,725000,110000,22.54,1396.0,88.73,5,Diesel,Manual,First Owner,Individual,Y,Bangalore,CT10,Karnataka,ST12,South,R4,560034
101,Maruti,Wagon,VXI,2009,185000,77000,21.79,998.0,67.05,5,Petrol,Manual,Second Owner,Dealer,Y,Kolkata,CT08,West Bengal,ST29,East,R2,700027
102,Tata,Manza,Quadrajet,2010,200000,100000,18.8,1248.0,90.0,5,Diesel,Manual,Second Owner,Individual,Y,Nellore,CT25,Andhra Pradesh,ST01,South,R4,524225
103,Maruti,Swift,VXI,2019,615000,10000,21.21,1197.0,81.8,5,Petrol,Manual,First Owner,Individual,Y,Gangtok,CT16,Sikkim,ST23,North East,R6,737101
104,Maruti,Eeco,BSIV,2016,270000,100000,15.37,1196.0,73.0,7,Petrol,Manual,Third Owner,Individual,Y,Mangalore,CT23,Karnataka,ST12,South,R4,575001
105,Maruti,Baleno,,2018,610000,35000,21.4,1197.0,83.1,5,Petrol,Manual,First Owner,Individual,Y,Dehradun,CT21,Uttarakhand,ST27,Central,R1,248001
106,Mahindra,Scorpio,BSIV,2014,625000,70000,11.79,2179.0,120.0,8,Diesel,Automatic,Second Owner,Individual,Y,Nellore,CT25,Andhra Pradesh,ST01,South,R4,524225
107,Ford,Freestyle,BSIV,2020,400000,5000,19.0,1194.0,94.68,5,Petrol,Manual,Second Owner,Individual,Y,Coimbatore,CT04,Tamil Nadu,ST24,South,R4,641001
108,Hyundai,Verna,SX,2017,866000,37800,17.0,1591.0,121.3,5,Petrol,Manual,First Owner,Individual,Y,Aurangabad,CT26,Maharashtra,ST15,West,R3,431001
109,Volkswagen,Passat,MT,2010,700000,114000,14.3,1798.0,160.0,5,Petrol,Manual,First Owner,Individual,Y,Kolkata,CT08,West Bengal,ST29,East,R2,700027
110,Tata,Indica,IV,2010,300000,48000,15.8,1172.0,65.0,5,Petrol,Manual,First Owner,Individual,Y,Ludhiana,CT18,Punjab,ST21,North,R5,141003
111,Mahindra,XUV500,AWD,2019,1700000,32000,15.1,2179.0,155.0,7,Diesel,Manual,First Owner,Individual,Y,Ahmedabad,CT11,Gujarat,ST07,West,R3,382460
112,Tata,Indigo,III,2016,375000,100000,19.09,1405.0,69.01,5,Diesel,Manual,First Owner,Individual,Y,Mysore,CT19,Karnataka,ST12,South,R4,570004
113,Hyundai,Verna,SX,2013,522000,150000,22.32,1582.0,126.32,5,Diesel,Manual,Second Owner,Individual,Y,Noida,CT12,Uttar Pradesh,ST28,Central,R1,201301
114,Hyundai,i20,,2013,451999,69000,21.9,1396.0,88.76,5,Diesel,Manual,First Owner,Individual,Y,Kolkata,CT08,West Bengal,ST29,East,R2,700027
115,Toyota,Corolla,G,2009,300000,100000,14.53,1798.0,138.1,5,Petrol,Manual,Second Owner,Individual,Y,Nellore,CT25,Andhra Pradesh,ST01,South,R4,524225
116,Maruti,Celerio,VXI,2020,475000,13000,21.63,998.0,67.04,5,Petrol,Manual,First Owner,Individual,Y,Mangalore,CT23,Karnataka,ST12,South,R4,575001
117,Maruti,Vitara,Tone,2016,780000,60000,24.3,1248.0,88.5,5,Diesel,Manual,First Owner,Individual,Y,Delhi,CT09,Delhi,ST34,North,R5,110039
118,Maruti,Swift,VXI,2017,595000,40000,20.85,1197.0,83.14,5,Petrol,Manual,First Owner,Individual,Y,Ranchi,CT28,Jharkhand,ST11,East,R2,834001
119,Maruti,Wagon,IV,2017,440000,35000,20.51,998.0,67.04,5,Petrol,Manual,First Owner,Individual,Y,Mangalore,CT23,Karnataka,ST12,South,R4,575001
121,Nissan,Terrano,PS,2014,400000,70000,20.45,1461.0,83.8,5,Diesel,Manual,Third Owner,Individual,Y,Mumbai,CT01,Maharashtra,ST15,West,R3,400001
122,Hyundai,Creta,SX,2016,1140000,50000,19.67,1582.0,126.2,5,Diesel,Manual,First Owner,Individual,Y,Coimbatore,CT04,Tamil Nadu,ST24,South,R4,641001
123,Ford,EcoSport,BSIV,2017,850000,76139,23.0,1498.0,98.96,5,Diesel,Manual,First Owner,Individual,Y,Hyderabad,CT05,Telangana,ST25,South,R4,500004
124,Maruti,Swift,VDi,2012,370000,175000,19.3,1248.0,73.9,5,Diesel,Manual,Fourth & Above Owner,Individual,Y,Nellore,CT25,Andhra Pradesh,ST01,South,R4,524225
125,Renault,KWID,,2018,350000,25000,23.01,999.0,67.0,5,Petrol,Manual,First Owner,Individual,Y,Gangtok,CT16,Sikkim,ST23,North East,R6,737101
126,Maruti,Celerio,VXI,2015,360000,40000,23.1,998.0,67.04,5,Petrol,Manual,Second Owner,Individual,Y,Thrissur,CT24,Kerala,ST13,South,R4,680004
127,Maruti,Alto,LXi,2008,105000,65000,19.7,796.0,46.3,5,Petrol,Manual,Fourth & Above Owner,Individual,Y,Delhi,CT09,Delhi,ST34,North,R5,110039
128,Maruti,Ertiga,VDI,2013,625000,90000,20.77,1248.0,88.76,7,Diesel,Manual,Second Owner,Individual,Y,Coimbatore,CT04,Tamil Nadu,ST24,South,R4,641001
129,Hyundai,Santro,GLS,2009,135000,80000,17.92,1086.0,62.1,5,Petrol,Manual,Second Owner,Individual,Y,Kochi,CT07,Kerala,ST13,South,R4,682001
130,Maruti,Ertiga,VDI,2015,700000,110000,20.77,1248.0,88.76,7,Diesel,Manual,Second Owner,Individual,Y,Bangalore,CT10,Karnataka,ST12,South,R4,560034
131,Honda,Amaze,VTEC,2019,690000,1303,17.8,1198.0,86.7,5,Petrol,Manual,First Owner,Dealer,Y,Indore,CT22,Madhya Pradesh,ST14,Central,R1,452010
132,Audi,Q5,Plus,2018,3975000,31800,17.01,1968.0,188.0,5,Diesel,Automatic,First Owner,Dealer,Y,Bhubaneshwar,CT15,Odisha,ST20,East,R2,751022
133,Lexus,ES,h,2019,5150000,20000,22.37,2487.0,214.56,5,Petrol,Automatic,First Owner,Dealer,Y,Hyderabad,CT05,Telangana,ST25,South,R4,500004
134,Jaguar,XF,Portfolio,2017,3200000,45000,19.33,1999.0,177.0,5,Diesel,Automatic,First Owner,Dealer,Y,Noida,CT12,Uttar Pradesh,ST28,Central,R1,201301
135,Jeep,Wrangler,,2017,4100000,17000,9.5,3604.0,280.0,5,Petrol,Automatic,First Owner,Individual,Y,Nellore,CT25,Andhra Pradesh,ST01,South,R4,524225
136,Land,Rover,SE,2019,4500000,21000,12.83,1999.0,148.31,7,Diesel,Automatic,First Owner,Dealer,Y,Thrissur,CT24,Kerala,ST13,South,R4,680004
137,Mercedes-Benz,S-Class,CDI,2017,6000000,37000,13.5,2987.0,254.79,5,Diesel,Automatic,First Owner,Dealer,Y,Bangalore,CT10,Karnataka,ST12,South,R4,560034
138,BMW,5,Line,2018,3790000,29500,22.48,1995.0,187.74,5,Diesel,Automatic,First Owner,Dealer,Y,Thrissur,CT24,Kerala,ST13,South,R4,680004
140,BMW,X4,d,2019,5800000,7500,16.78,1995.0,190.0,5,Diesel,Automatic,First Owner,Dealer,Y,Chennai,CT03,Tamil Nadu,ST24,South,R4,600020
141,Skoda,Superb,AT,2018,1864999,50000,14.67,1798.0,177.46,5,Petrol,Automatic,First Owner,Dealer,Y,Patna,CT13,Bihar,ST04,East,R2,800002
142,Mercedes-Benz,E-Class,E,2016,2700000,35000,15.0,2143.0,204.0,5,Diesel,Automatic,First Owner,Dealer,Y,Surat,CT14,Gujarat,ST07,West,R3,395007
143,MG,Hector,BSIV,2019,1750000,19000,13.96,1451.0,141.0,5,Petrol,Automatic,First Owner,Dealer,Y,Kolkata,CT08,West Bengal,ST29,East,R2,700027
144,Honda,City,VX,2017,795000,41000,18.0,1497.0,117.6,5,Petrol,Automatic,First Owner,Dealer,Y,Mangalore,CT23,Karnataka,ST12,South,R4,575001
145,Toyota,Corolla,CVT,2013,625000,39000,14.28,1798.0,138.03,5,Petrol,Automatic,First Owner,Dealer,Y,Thrissur,CT24,Kerala,ST13,South,R4,680004
146,Volvo,XC40,Design,2018,3400000,22000,18.0,1969.0,190.0,5,Diesel,Automatic,First Owner,Dealer,Y,Mumbai,CT01,Maharashtra,ST15,West,R3,400001
147,Audi,Q7,Premium,2015,2650000,53000,12.07,2967.0,241.4,7,Diesel,Automatic,First Owner,Dealer,Y,Ahmedabad,CT11,Gujarat,ST07,West,R3,382460
148,Maruti,Ciaz,ZDi,2015,535000,40000,26.21,1248.0,88.5,5,Diesel,Manual,First Owner,Dealer,Y,Kolkata,CT08,West Bengal,ST29,East,R2,700027
149,Mercedes-Benz,S-Class,CDI,2017,5850000,47000,13.5,2987.0,282.0,5,Diesel,Automatic,First Owner,Dealer,Y,Surat,CT14,Gujarat,ST07,West,R3,395007
150,BMW,5,i,2010,975000,72200,10.8,2497.0,150.0,5,Petrol,Automatic,Second Owner,Dealer,Y,Mysore,CT19,Karnataka,ST12,South,R4,570004
151,Hyundai,Elantra,S,2016,805000,49900,16.3,1797.0,147.5,5,Petrol,Manual,First Owner,Dealer,Y,Thrissur,CT24,Kerala,ST13,South,R4,680004
152,Jaguar,XE,Prestige,2017,2625000,9000,13.6,1999.0,177.0,5,Diesel,Automatic,First Owner,Dealer,Y,Mysore,CT19,Karnataka,ST12,South,R4,570004
153,Tata,Nexon,Tone,2018,811000,11000,17.0,1198.0,108.5,5,Petrol,Manual,First Owner,Dealer,Y,Mumbai,CT01,Maharashtra,ST15,West,R3,400001
154,Volkswagen,Vento,Highline,2011,375000,49000,15.04,1598.0,103.6,5,Petrol,Manual,First Owner,Individual,Y,Pune,CT02,Maharashtra,ST15,West,R3,411002
155,Hyundai,Elantra,SX,2012,550000,95000,16.3,1797.0,147.5,5,Petrol,Manual,First Owner,Individual,Y,Hyderabad,CT05,Telangana,ST25,South,R4,500004
156,Skoda,Rapid,Elegance,2016,645000,11000,14.3,1598.0,103.5,5,Petrol,Automatic,First Owner,Dealer,Y,Vellore,CT29,Tamil Nadu,ST24,South,R4,632001
157,Mercedes-Benz,CLA,Sport,2018,2550000,18000,15.04,1991.0,183.0,5,Petrol,Automatic,First Owner,Dealer,Y,Kochi,CT07,Kerala,ST13,South,R4,682001
158,Maruti,Ertiga,ZXI,2014,599000,46100,16.02,1373.0,93.7,7,Petrol,Manual,First Owner,Dealer,Y,Mangalore,CT23,Karnataka,ST12,South,R4,575001
